longitude,latitude,sea_temperature
-77.6,2.71,0.0
-77.6,2.96,0.0
-77.6,3.21,26.264116
-77.6,3.46,26.548937
-77.6,3.71,26.49922
-77.6,3.96,26.680513
-77.6,4.21,0.0
-77.6,4.46,26.84038
-77.6,4.71,26.85627
-77.6,4.96,0.0
-77.6,5.21,27.113523
-77.6,5.46,27.018663
-77.6,5.71,27.063927
-77.6,5.96,0.0
-77.6,6.21,27.191168
-77.6,6.46,0.0
-77.6,6.71,0.0
-77.6,6.96,0.0
-77.6,7.21,0.0
-77.6,7.46,0.0
-77.6,7.71,0.0
-77.6,7.96,0.0
-77.6,8.21,0.0
-77.6,8.46,0.0
-77.6,8.71,28.101971
-77.6,8.96,28.057188
-77.6,9.21,27.911648
-77.6,9.46,27.797045
-77.6,9.71,27.611898
-77.6,9.96,27.585175
-77.6,10.21,27.581444
-77.6,10.46,27.568321
-77.6,10.71,27.599501
-77.6,10.96,27.609974
-77.6,11.21,27.697851
-77.6,11.46,27.718197
-77.6,11.71,27.640068
-77.6,11.96,27.557245
-77.6,12.21,27.45396
-77.6,12.46,27.416401
-77.35,-4.29,0.0
-77.35,-4.04,0.0
-77.35,-3.79,0.0
-77.35,-3.54,0.0
-77.35,-3.29,0.0
-77.35,-3.04,0.0
-77.35,-2.79,0.0
-77.35,-2.54,0.0
-77.35,-2.29,0.0
-77.35,-2.04,0.0
-77.35,-1.79,0.0
-77.35,-1.54,0.0
-77.35,-1.29,0.0
-77.35,-1.04,0.0
-77.35,-0.79,0.0
-77.35,-0.54,0.0
-77.35,-0.29,0.0
-77.35,-0.04,0.0
-77.35,0.21,0.0
-77.35,0.46,0.0
-77.35,0.71,0.0
-77.35,0.96,0.0
-77.35,1.21,0.0
-77.35,1.46,0.0
-77.35,1.71,0.0
-77.35,1.96,0.0
-77.35,2.21,0.0
-77.35,2.46,0.0
-77.35,2.71,0.0
-77.35,2.96,0.0
-77.35,3.21,0.0
-77.35,3.46,26.686291
-77.35,3.71,26.396173
-77.35,3.96,0.0
-77.35,4.21,0.0
-77.35,4.46,0.0
-77.35,4.71,0.0
-77.35,4.96,0.0
-77.35,5.21,0.0
-77.35,5.46,0.0
-77.35,5.71,26.788254
-77.35,5.96,0.0
-77.35,6.21,0.0
-77.35,6.46,0.0
-77.35,6.71,0.0
-77.35,6.96,0.0
-77.35,7.21,0.0
-77.35,7.46,0.0
-77.35,7.71,0.0
-77.35,7.96,0.0
-77.35,8.21,0.0
-77.35,8.46,0.0
-77.35,8.71,28.257982
-77.35,8.96,28.109674
-77.35,9.21,27.885284
-77.35,9.46,27.728668
-77.35,9.71,27.623455
-77.35,9.96,27.647532
-77.35,10.21,27.635735
-77.35,10.46,27.604555
-77.35,10.71,27.638384
-77.35,10.96,27.698454
-77.35,11.21,27.752024
-77.35,11.46,27.736012
-77.35,11.71,27.627668
-77.35,11.96,27.537985
-77.35,12.21,27.445171
-77.35,12.46,27.423624
-77.1,-4.29,0.0
-77.1,-4.04,0.0
-77.1,-3.79,0.0
-77.1,-3.54,0.0
-77.1,-3.29,0.0
-77.1,-3.04,0.0
-77.1,-2.79,0.0
-77.1,-2.54,0.0
-77.1,-2.29,0.0
-77.1,-2.04,0.0
-77.1,-1.79,0.0
-77.1,-1.54,0.0
