longitude,latitude,accumulated_precipitation
-77.85,10.71,0.084127
-77.85,10.96,0.074445
-77.85,11.21,0.054749
-77.85,11.46,0.025038
-77.85,11.71,0.043399
-77.85,11.96,0.058421
-77.85,12.21,0.050743
-77.85,12.46,0.006677
-77.6,-4.29,0.561179
-77.6,-4.04,0.26807
-77.6,-3.79,0.507431
-77.6,-3.54,0.313138
-77.6,-3.29,0.065766
-77.6,-3.04,0.131531
-77.6,-2.79,0.207312
-77.6,-2.54,0.747793
-77.6,-2.29,0.760479
-77.6,-2.04,0.143216
-77.6,-1.79,0.419966
-77.6,-1.54,0.214657
-77.6,-1.29,0.080455
-77.6,-1.04,0.097814
-77.6,-0.79,0.049742
-77.6,-0.54,0.281424
-77.6,-0.29,0.245036
-77.6,-0.04,0.040394
-77.6,0.21,0.006343
-77.6,0.46,0.010349
-77.6,0.71,0.144217
-77.6,0.96,0.61526
-77.6,1.21,1.418136
-77.6,1.46,0.983481
-77.6,1.71,0.54649
-77.6,1.96,0.236022
-77.6,2.21,0.331499
-77.6,2.46,0.300453
-77.6,2.71,0.169589
-77.6,2.96,0.066767
-77.6,3.21,0.012018
-77.6,3.46,0.005008
-77.6,3.71,0.015356
-77.6,3.96,0.010015
-77.6,4.21,0.038725
-77.6,4.46,0.085462
-77.6,4.71,0.300453
-77.6,4.96,0.409951
-77.6,5.21,0.06443
-77.6,5.46,0.021032
-77.6,5.71,0.04874
-77.6,5.96,0.09314
-77.6,6.21,0.118512
-77.6,6.46,0.16358
-77.6,6.71,0.252046
-77.6,6.96,0.237358
-77.6,7.21,0.29845
-77.6,7.46,0.271743
-77.6,7.71,0.172927
-77.6,7.96,0.106494
-77.6,8.21,0.085462
-77.6,8.46,0.079119
-77.6,8.71,0.101486
-77.6,8.96,0.182942
-77.6,9.21,0.20798
-77.6,9.46,0.175264
-77.6,9.71,0.154566
-77.6,9.96,0.089134
-77.6,10.21,0.080455
-77.6,10.46,0.094142
-77.6,10.71,0.077116
-77.6,10.96,0.067769
-77.6,11.21,0.054081
-77.6,11.46,0.020364
-77.6,11.71,0.060424
-77.6,11.96,0.087465
-77.6,12.21,0.099817
-77.6,12.46,0.035387
-77.35,-4.29,0.220666
-77.35,-4.04,0.124521
-77.35,-3.79,0.598568
-77.35,-3.54,0.630283
-77.35,-3.29,0.212654
-77.35,-3.04,0.31414
-77.35,-2.79,0.461695
-77.35,-2.54,0.508766
-77.35,-2.29,0.557506
-77.35,-2.04,0.359208
-77.35,-1.79,0.284095
-77.35,-1.54,0.159574
-77.35,-1.29,0.055417
-77.35,-1.04,0.035387
-77.35,-0.79,0.01302
-77.35,-0.54,0.087131
-77.35,-0.29,0.09314
-77.35,-0.04,0.036722
-77.35,0.21,0.002337
-77.35,0.46,0.005341
-77.35,0.71,0.026707
-77.35,0.96,0.088467
-77.35,1.21,0.484396
-77.35,1.46,0.425307
-77.35,1.71,1.443174
-77.35,1.96,2.176946
-77.35,2.21,1.148397
-77.35,2.46,0.707733
-77.35,2.71,0.367554
-77.35,2.96,0.073778
-77.35,3.21,0.047405
-77.35,3.46,0.051411
-77.35,3.71,0.057086
-77.35,3.96,0.015023
-77.35,4.21,0.052746
-77.35,4.46,0.082458
-77.35,4.71,0.368555
-77.35,4.96,0.580541
-77.35,5.21,0.128193
-77.35,5.46,0.095477
-77.35,5.71,0.113838
-77.35,5.96,0.24804
-77.35,6.21,0.485732
-77.35,6.46,0.642969
-77.35,6.71,0.653651
-77.35,6.96,0.553834
-77.35,7.21,0.394594
-77.35,7.46,0.256386
-77.35,7.71,0.122852
-77.35,7.96,0.058421
-77.35,8.21,0.080121
-77.35,8.46,0.214657
-77.35,8.71,0.223336
-77.35,8.96,0.209649
-77.35,9.21,0.205977
-77.35,9.46,0.170924
-77.35,9.71,0.144885
-77.35,9.96,0.123519
-77.35,10.21,0.118846
-77.35,10.46,0.138208
-77.35,10.71,0.110166
-77.35,10.96,0.104157
-77.35,11.21,0.070106
-77.35,11.46,0.023369
-77.35,11.71,0.035387
-77.35,11.96,0.058755
-77.35,12.21,0.088133
-77.35,12.46,0.069104
-77.1,-4.29,0.007344
-77.1,-4.04,0.006343
-77.1,-3.79,0.17927
-77.1,-3.54,0.276416
-77.1,-3.29,0.145219
-77.1,-3.04,0.15924
-77.1,-2.79,0.222001
-77.1,-2.54,0.263063
-77.1,-2.29,0.295445
-77.1,-2.04,0.212654
-77.1,-1.79,0.110834
-77.1,-1.54,0.054081
-77.1,-1.29,0.033384
-77.1,-1.04,0.010683
-77.1,-0.79,0.002337
-77.1,-0.54,0.005341
-77.1,-0.29,0.003338
-77.1,-0.04,0.000334
-77.1,0.21,0.000334
-77.1,0.46,0.001669
-77.1,0.71,0.007678
-77.1,0.96,0.074112
-77.1,1.21,0.449677
-77.1,1.46,0.282092
-77.1,1.71,4.553192
-77.1,1.96,4.001695
-77.1,2.21,1.056925
-77.1,2.46,0.551164
-77.1,2.71,0.300119
-77.1,2.96,0.090136
-77.1,3.21,0.16625
-77.1,3.46,0.205643
-77.1,3.71,0.132867
-77.1,3.96,0.056418
-77.1,4.21,0.023369
-77.1,4.46,0.040394
-77.1,4.71,0.119513
-77.1,4.96,0.257054
-77.1,5.21,0.129195
-77.1,5.46,0.205309
-77.1,5.71,0.104825
-77.1,5.96,0.240362
-77.1,6.21,1.011858
-77.1,6.46,0.979475
-77.1,6.71,0.921722
-77.1,6.96,0.979475
-77.1,7.21,0.651982
-77.1,7.46,0.33851
-77.1,7.71,0.120849
-77.1,7.96,0.063095
-77.1,8.21,0.106494
-77.1,8.46,0.304792
-77.1,8.71,0.496748
-77.1,8.96,0.444336
-77.1,9.21,0.221667
-77.1,9.46,0.164247
-77.1,9.71,0.166584
-77.1,9.96,0.186948
-77.1,10.21,0.235021
-77.1,10.46,0.1993
-77.1,10.71,0.15924
-77.1,10.96,0.128527
-77.1,11.21,0.067769
-77.1,11.46,0.025705
-77.1,11.71,0.015023
-77.1,11.96,0.022701
-77.1,12.21,0.053414
-77.1,12.46,0.076448
-76.85,-4.29,0.014355
-76.85,-4.04,0.002337
-76.85,-3.79,0.001335
-76.85,-3.54,0.002003
-76.85,-3.29,0.002003
-76.85,-3.04,0.005675
-76.85,-2.79,0.030379
-76.85,-2.54,0.036722
-76.85,-2.29,0.039393
-76.85,-2.04,0.037723
-76.85,-1.79,0.030045
-76.85,-1.54,0.018361
-76.85,-1.29,0.009681
-76.85,-1.04,0.02003
-76.85,-0.79,0.005675
-76.85,-0.54,0.001335
-76.85,-0.29,0.000668
-76.85,-0.04,0.000334
-76.85,0.21,0.0
-76.85,0.46,0.0
-76.85,0.71,0.000668
-76.85,0.96,0.023702
-76.85,1.21,0.273078
-76.85,1.46,0.165583
-76.85,1.71,2.61761
-76.85,1.96,2.273091
-76.85,2.21,0.651648
-76.85,2.46,0.491741
-76.85,2.71,0.278419
-76.85,2.96,0.193625
-76.85,3.21,0.21232
-76.85,3.46,0.513774
-76.85,3.71,0.299785
-76.85,3.96,0.08179
-76.85,4.21,0.023035
-76.85,4.46,0.055417
-76.85,4.71,0.054081
-76.85,4.96,0.006677
-76.85,5.21,0.022367
-76.85,5.46,0.160909
-76.85,5.71,0.100485
-76.85,5.96,0.153898
-76.85,6.21,0.607582
-76.85,6.46,0.556839
-76.85,6.71,0.899021
-76.85,6.96,1.316984
-76.85,7.21,0.865303
-76.85,7.46,0.538478
-76.85,7.71,0.323487
-76.85,7.96,0.198633
-76.85,8.21,0.326492
-76.85,8.46,0.474381
-76.85,8.71,0.836927
-76.85,8.96,0.694713
-76.85,9.21,0.30112
-76.85,9.46,0.176933
-76.85,9.71,0.196963
-76.85,9.96,0.283761
-76.85,10.21,0.270407
-76.85,10.46,0.201971
-76.85,10.71,0.151895
-76.85,10.96,0.114172
-76.85,11.21,0.070439
-76.85,11.46,0.038725
-76.85,11.71,0.022367
-76.85,11.96,0.009681
-76.85,12.21,0.025705
-76.85,12.46,0.098482
-76.6,-4.29,0.014689
-76.6,-4.04,0.001669
-76.6,-3.79,0.0
-76.6,-3.54,0.000334
-76.6,-3.29,0.0
-76.6,-3.04,0.00434
-76.6,-2.79,0.041062
-76.6,-2.54,0.045068
-76.6,-2.29,0.029378
-76.6,-2.04,0.021699
-76.6,-1.79,0.01302
-76.6,-1.54,0.003005
-76.6,-1.29,0.005008
-76.6,-1.04,0.012686
-76.6,-0.79,0.005341
-76.6,-0.54,0.000334
-76.6,-0.29,0.0
-76.6,-0.04,0.0
-76.6,0.21,0.0
-76.6,0.46,0.000334
-76.6,0.71,0.0
-76.6,0.96,0.002003
-76.6,1.21,0.025372
-76.6,1.46,0.047071
-76.6,1.71,0.083459
-76.6,1.96,0.3098
-76.6,2.21,0.359208
-76.6,2.46,0.507097
-76.6,2.71,0.845941
-76.6,2.96,0.4647
-76.6,3.21,0.217661
-76.6,3.46,0.58221
-76.6,3.71,0.377569
-76.6,3.96,0.151228
-76.6,4.21,0.204308
-76.6,4.46,0.337175
-76.6,4.71,0.311803
-76.6,4.96,0.107161
-76.6,5.21,0.009347
-76.6,5.46,0.082124
-76.6,5.71,0.409951
-76.6,5.96,0.331833
-76.6,6.21,0.248708
-76.6,6.46,0.227009
-76.6,6.71,0.516445
-76.6,6.96,0.896016
-76.6,7.21,0.872314
-76.6,7.46,0.796867
-76.6,7.71,0.52646
-76.6,7.96,0.687035
-76.6,8.21,0.44467
-76.6,8.46,0.523789
-76.6,8.71,0.834591
-76.6,8.96,0.650981
-76.6,9.21,0.227009
-76.6,9.46,0.11751
-76.6,9.71,0.104157
-76.6,9.96,0.153231
-76.6,10.21,0.134202
-76.6,10.46,0.098816
-76.6,10.71,0.084461
-76.6,10.96,0.072776
-76.6,11.21,0.056752
-76.6,11.46,0.027041
-76.6,11.71,0.017693
-76.6,11.96,0.009347
-76.6,12.21,0.01135
-76.6,12.46,0.074445
-76.35,-4.29,0.00868
-76.35,-4.04,0.002003
-76.35,-3.79,0.0
-76.35,-3.54,0.0
-76.35,-3.29,0.0
-76.35,-3.04,0.002337
-76.35,-2.79,0.031381
-76.35,-2.54,0.036054
-76.35,-2.29,0.024704
-76.35,-2.04,0.017026
-76.35,-1.79,0.006677
-76.35,-1.54,0.002337
-76.35,-1.29,0.003338
-76.35,-1.04,0.003672
-76.35,-0.79,0.001002
-76.35,-0.54,0.0
-76.35,-0.29,0.0
-76.35,-0.04,0.0
-76.35,0.21,0.0
-76.35,0.46,0.0
-76.35,0.71,0.0
-76.35,0.96,0.000668
-76.35,1.21,0.03739
-76.35,1.46,0.467037
-76.35,1.71,0.252714
-76.35,1.96,0.064764
-76.35,2.21,0.081456
-76.35,2.46,0.284095
-76.35,2.71,0.654319
-76.35,2.96,0.440664
-76.35,3.21,0.340847
-76.35,3.46,0.325824
-76.35,3.71,0.483061
-76.35,3.96,0.323487
-76.35,4.21,0.263063
-76.35,4.46,0.303791
-76.35,4.71,0.376567
-76.35,4.96,0.53781
-76.35,5.21,0.81022
-76.35,5.46,0.721086
-76.35,5.71,0.546156
-76.35,5.96,0.343517
-76.35,6.21,0.231015
-76.35,6.46,0.304792
-76.35,6.71,0.405945
-76.35,6.96,0.600571
-76.35,7.21,1.096652
-76.35,7.46,2.231361
-76.35,7.71,1.055256
-76.35,7.96,0.848278
-76.35,8.21,0.487067
-76.35,8.46,0.310802
-76.35,8.71,0.412288
-76.35,8.96,0.319147
-76.35,9.21,0.113838
-76.35,9.46,0.076782
-76.35,9.71,0.03572
-76.35,9.96,0.032048
-76.35,10.21,0.03572
-76.35,10.46,0.025038
-76.35,10.71,0.026039
-76.35,10.96,0.03572
-76.35,11.21,0.029044
-76.35,11.46,0.016024
-76.35,11.71,0.00868
-76.35,11.96,0.013353
-76.35,12.21,0.013353
-76.35,12.46,0.02437
-76.1,-4.29,0.005675
-76.1,-4.04,0.000668
-76.1,-3.79,0.0
-76.1,-3.54,0.0
-76.1,-3.29,0.0
-76.1,-3.04,0.001335
-76.1,-2.79,0.006677
-76.1,-2.54,0.01302
-76.1,-2.29,0.015356
-76.1,-2.04,0.01135
-76.1,-1.79,0.005341
-76.1,-1.54,0.001335
-76.1,-1.29,0.001335
-76.1,-1.04,0.001669
-76.1,-0.79,0.000668
-76.1,-0.54,0.0
-76.1,-0.29,0.0
-76.1,-0.04,0.0
-76.1,0.21,0.0
-76.1,0.46,0.0
-76.1,0.71,0.0
-76.1,0.96,0.000334
-76.1,1.21,0.025372
-76.1,1.46,0.389587
-76.1,1.71,0.306795
-76.1,1.96,0.124521
-76.1,2.21,0.128527
-76.1,2.46,0.194293
-76.1,2.71,0.258055
-76.1,2.96,0.256386
-76.1,3.21,0.257388
-76.1,3.46,0.148223
-76.1,3.71,0.314474
-76.1,3.96,0.271075
-76.1,4.21,0.213989
-76.1,4.46,0.163246
-76.1,4.71,0.217661
-76.1,4.96,0.461028
-76.1,5.21,0.844272
-76.1,5.46,0.974802
-76.1,5.71,0.491407
-76.1,5.96,0.250377
-76.1,6.21,0.150226
-76.1,6.46,0.227009
-76.1,6.71,0.461362
-76.1,6.96,0.715745
-76.1,7.21,1.110673
-76.1,7.46,1.912214
-76.1,7.71,1.026213
-76.1,7.96,0.845273
-76.1,8.21,0.582878
-76.1,8.46,0.365884
-76.1,8.71,0.188951
-76.1,8.96,0.098482
-76.1,9.21,0.07311
-76.1,9.46,0.048406
-76.1,9.71,0.019696
-76.1,9.96,0.01569
-76.1,10.21,0.016358
-76.1,10.46,0.007011
-76.1,10.71,0.008012
-76.1,10.96,0.014689
-76.1,11.21,0.013687
-76.1,11.46,0.006677
-76.1,11.71,0.007344
-76.1,11.96,0.014021
-76.1,12.21,0.010015
-76.1,12.46,0.009014
-75.85,-4.29,0.000334
-75.85,-4.04,0.000334
-75.85,-3.79,0.0
-75.85,-3.54,0.0
-75.85,-3.29,0.0
-75.85,-3.04,0.0
-75.85,-2.79,0.003005
-75.85,-2.54,0.001669
-75.85,-2.29,0.006009
-75.85,-2.04,0.006343
-75.85,-1.79,0.002337
-75.85,-1.54,0.000668
-75.85,-1.29,0.000334
-75.85,-1.04,0.000334
-75.85,-0.79,0.0
-75.85,-0.54,0.0
-75.85,-0.29,0.0
-75.85,-0.04,0.0
-75.85,0.21,0.0
-75.85,0.46,0.0
-75.85,0.71,0.0
-75.85,0.96,0.0
-75.85,1.21,0.005341
-75.85,1.46,0.049742
-75.85,1.71,0.084794
-75.85,1.96,0.086797
-75.85,2.21,0.124187
-75.85,2.46,0.155568
-75.85,2.71,0.144551
-75.85,2.96,0.168253
-75.85,3.21,0.111501
-75.85,3.46,0.056418
-75.85,3.71,0.093474
-75.85,3.96,0.118846
-75.85,4.21,0.409283
-75.85,4.46,0.443001
-75.85,4.71,0.420967
-75.85,4.96,0.62828
-75.85,5.21,0.544153
-75.85,5.46,0.664
-75.85,5.71,0.389253
-75.85,5.96,0.630617
-75.85,6.21,0.360209
-75.85,6.46,0.12619
-75.85,6.71,0.459025
-75.85,6.96,0.893346
-75.85,7.21,1.050916
-75.85,7.46,0.945758
-75.85,7.71,0.640298
-75.85,7.96,1.0843
-75.85,8.21,0.582544
-75.85,8.46,0.306128
-75.85,8.71,0.186614
-75.85,8.96,0.059089
-75.85,9.21,0.031381
-75.85,9.46,0.023702
-75.85,9.71,0.005341
-75.85,9.96,0.002337
-75.85,10.21,0.003005
-75.85,10.46,0.002003
-75.85,10.71,0.002337
-75.85,10.96,0.003672
-75.85,11.21,0.003672
-75.85,11.46,0.003005
-75.85,11.71,0.006677
-75.85,11.96,0.010349
-75.85,12.21,0.006677
-75.85,12.46,0.021366
-75.6,-4.29,0.0
-75.6,-4.04,0.0
-75.6,-3.79,0.0
-75.6,-3.54,0.0
-75.6,-3.29,0.0
-75.6,-3.04,0.0
-75.6,-2.79,0.003338
-75.6,-2.54,0.000668
-75.6,-2.29,0.001002
-75.6,-2.04,0.001669
-75.6,-1.79,0.000668
-75.6,-1.54,0.0
-75.6,-1.29,0.0
-75.6,-1.04,0.0
-75.6,-0.79,0.0
-75.6,-0.54,0.0
-75.6,-0.29,0.0
-75.6,-0.04,0.0
-75.6,0.21,0.0
-75.6,0.46,0.0
-75.6,0.71,0.0
-75.6,0.96,0.0
-75.6,1.21,0.0
-75.6,1.46,0.0
-75.6,1.71,0.001335
-75.6,1.96,0.017359
-75.6,2.21,0.09047
-75.6,2.46,0.119847
-75.6,2.71,0.203306
