longitude,latitude,sea_level
-78.83333,3.75,0.271876
-78.83333,3.8333359,0.269351
-78.83333,3.9166718,0.267568
-78.83333,4.0,0.266582
-78.83333,4.083336,0.265189
-78.83333,4.1666718,0.263553
-78.83333,4.25,0.261645
-78.83333,4.333336,0.25915
-78.83333,4.4166718,0.256333
-78.83333,4.5,0.253999
-78.83333,4.583336,0.253031
-78.83333,4.6666718,0.252638
-78.83333,4.75,0.25208
-78.83333,4.833336,0.251913
-78.83333,4.9166718,0.252854
-78.83333,5.0,0.254248
-78.83333,5.083336,0.255468
-78.83333,5.1666718,0.256343
-78.83333,5.25,0.256786
-78.83333,5.333336,0.256758
-78.83333,5.4166718,0.256401
-78.83333,5.5,0.256074
-78.83333,5.583336,0.255953
-78.83333,5.6666718,0.256026
-78.83333,5.75,0.256319
-78.83333,5.833336,0.256822
-78.83333,5.9166718,0.257312
-78.83333,6.0,0.258278
-78.83333,6.083336,0.259207
-78.83333,6.1666718,0.259994
-78.83333,6.25,0.260709
-78.83333,6.333336,0.260529
-78.83333,6.4166718,0.259207
-78.83333,6.5,0.257599
-78.83333,6.583336,0.255659
-78.83333,6.6666718,0.253693
-78.83333,6.75,0.250077
-78.83333,6.833336,0.245295
-78.83333,6.9166718,0.240391
-78.83333,7.0,0.236575
-78.83333,7.083336,0.234352
-78.83333,7.1666718,0.233938
-78.83333,7.25,0.235979
-78.83333,7.333336,0.240479
-78.83333,7.4166718,0.246611
-78.83333,7.5,0.253496
-78.83333,7.583336,0.260331
-78.83333,7.6666718,0.268812
-78.83333,7.75,0.282247
-78.83333,7.833336,0.298007
-78.83333,7.9166718,0.311125
-78.83333,8.0,0.321043
-78.83333,8.083336,0.327161
-78.83333,8.166672,0.329564
-78.83333,8.25,0.326939
-78.83333,8.333336,0.323319
-78.83333,8.416672,0.0
-78.83333,8.5,0.321258
-78.83333,8.583336,0.323903
-78.83333,8.666672,0.32818
-78.83333,8.75,0.331461
-78.83333,8.833336,0.333158
-78.83333,8.916672,0.0
-78.83333,9.0,0.0
-78.83333,9.083336,0.0
-78.83333,9.166672,0.0
-78.83333,9.25,0.0
-78.83333,9.333336,0.0
-78.83333,9.416672,0.160106
-78.83333,9.5,0.158098
-78.83333,9.583336,0.155538
-78.83333,9.666672,0.153749
-78.83333,9.75,0.152291
-78.83333,9.833336,0.149164
-78.83333,9.916672,0.143128
-78.83333,10.0,0.134289
-78.83333,10.083336,0.121218
-78.83333,10.166672,0.104252
-78.83333,10.25,0.085683
-78.83333,10.333336,0.069027
-78.83333,10.416672,0.056036
-78.83333,10.5,0.045828
-78.83333,10.583336,0.038739
-78.83333,10.666672,0.03507
-78.83333,10.75,0.03368
-78.83333,10.833336,0.034166
-78.83333,10.916672,0.033918
-78.83333,11.0,0.031824
-78.83333,11.083336,0.031916
-78.83333,11.166672,0.034725
-78.83333,11.25,0.038744
-78.83333,11.333336,0.044608
-78.83333,11.416672,0.051864
-78.83333,11.5,0.059126
-78.83333,11.583336,0.068288
-78.83333,11.666672,0.080154
-78.83333,11.75,0.092992
-78.83333,11.833336,0.106782
-78.83333,11.916672,0.121107
-78.83333,12.0,0.134268
-78.83333,12.083336,0.144463
-78.83333,12.166672,0.158814
-78.83333,12.25,0.178922
-78.83333,12.333336,0.199973
-78.83333,12.416672,0.218989
-78.75,-4.25,0.0
-78.75,-4.166664,0.0
-78.75,-4.0833282,0.0
-78.75,-4.0,0.0
-78.75,-3.9166641,0.0
-78.75,-3.8333282,0.0
-78.75,-3.75,0.0
-78.75,-3.6666641,0.0
-78.75,-3.5833282,0.0
-78.75,-3.5,0.0
-78.75,-3.4166641,0.0
-78.75,-3.3333282,0.0
-78.75,-3.25,0.0
-78.75,-3.1666641,0.0
-78.75,-3.0833282,0.0
-78.75,-3.0,0.0
-78.75,-2.9166641,0.0
-78.75,-2.8333282,0.0
-78.75,-2.75,0.0
-78.75,-2.6666641,0.0
-78.75,-2.5833282,0.0
-78.75,-2.5,0.0
-78.75,-2.4166641,0.0
-78.75,-2.3333282,0.0
-78.75,-2.25,0.0
-78.75,-2.1666641,0.0
-78.75,-2.0833282,0.0
-78.75,-2.0,0.0
-78.75,-1.9166641,0.0
-78.75,-1.8333282,0.0
-78.75,-1.75,0.0
-78.75,-1.6666641,0.0
-78.75,-1.5833282,0.0
-78.75,-1.5,0.0
-78.75,-1.4166641,0.0
-78.75,-1.3333282,0.0
-78.75,-1.25,0.0
-78.75,-1.1666641,0.0
-78.75,-1.0833282,0.0
-78.75,-1.0,0.0
-78.75,-0.9166641,0.0
-78.75,-0.83332825,0.0
-78.75,-0.75,0.0
