DN,geometry
7,"POLYGON ((-77.1081667617405 3.075830078627907, -77.1081667617405 3.048434869697675, -77.08077155281646 3.048434869697675, -77.08077155281646 3.075830078627907, -77.1081667617405 3.075830078627907))"
5,"POLYGON ((-76.91640029927215 3.075830078627907, -76.91640029927215 3.048434869697675, -76.88900509034809 3.048434869697675, -76.88900509034809 3.062132474162791, -76.90270269481012 3.062132474162791, -76.90270269481012 3.075830078627907, -76.91640029927215 3.075830078627907))"
6,"POLYGON ((-76.87530748588607 3.089527683093023, -76.87530748588607 3.075830078627907, -76.90270269481012 3.075830078627907, -76.90270269481012 3.062132474162791, -76.88900509034809 3.062132474162791, -76.88900509034809 3.048434869697675, -76.87530748588607 3.048434869697675, -76.87530748588607 3.062132474162791, -76.86160988142404 3.062132474162791, -76.86160988142404 3.075830078627907, -76.84791227696202 3.075830078627907, -76.84791227696202 3.062132474162791, -76.8342146725 3.062132474162791, -76.8342146725 3.089527683093023, -76.87530748588607 3.089527683093023))"
6,"POLYGON ((-76.71093623234177 3.089527683093023, -76.71093623234177 3.062132474162791, -76.72463383680379 3.062132474162791, -76.72463383680379 3.048434869697675, -76.69723862787974 3.048434869697675, -76.69723862787974 3.089527683093023, -76.71093623234177 3.089527683093023))"
6,"POLYGON ((-77.06707394835443 3.089527683093023, -77.06707394835443 3.075830078627907, -77.08077155281646 3.075830078627907, -77.08077155281646 3.048434869697675, -77.0533763438924 3.048434869697675, -77.0533763438924 3.034737265232558, -77.02598113496835 3.034737265232558, -77.02598113496835 3.048434869697675, -77.03967873943037 3.048434869697675, -77.03967873943037 3.075830078627907, -77.0533763438924 3.075830078627907, -77.0533763438924 3.089527683093023, -77.06707394835443 3.089527683093023))"
5,"POLYGON ((-76.87530748588607 3.116922892023256, -76.87530748588607 3.10322528755814, -76.86160988142404 3.10322528755814, -76.86160988142404 3.089527683093023, -76.8342146725 3.089527683093023, -76.8342146725 3.062132474162791, -76.84791227696202 3.062132474162791, -76.84791227696202 3.075830078627907, -76.86160988142404 3.075830078627907, -76.86160988142404 3.062132474162791, -76.87530748588607 3.062132474162791, -76.87530748588607 3.048434869697675, -76.88900509034809 3.048434869697675, -76.88900509034809 3.034737265232558, -76.8342146725 3.034737265232558, -76.8342146725 3.048434869697675, -76.82051706803797 3.048434869697675, -76.82051706803797 3.062132474162791, -76.80681946357595 3.062132474162791, -76.80681946357595 3.089527683093023, -76.82051706803797 3.089527683093023, -76.82051706803797 3.10322528755814, -76.8342146725 3.10322528755814, -76.8342146725 3.116922892023256, -76.87530748588607 3.116922892023256))"
2,"POLYGON ((-76.05345121816455 3.048434869697675, -76.05345121816455 3.034737265232558, -76.03975361370253 3.034737265232558, -76.03975361370253 3.048434869697675, -76.05345121816455 3.048434869697675))"
5,"POLYGON ((-76.79312185911392 3.034737265232558, -76.79312185911392 3.021039660767442, -76.7794242546519 3.021039660767442, -76.7794242546519 3.034737265232558, -76.79312185911392 3.034737265232558))"
6,"POLYGON ((-76.72463383680379 3.034737265232558, -76.72463383680379 3.021039660767442, -76.71093623234177 3.021039660767442, -76.71093623234177 3.034737265232558, -76.72463383680379 3.034737265232558))"
1,"POLYGON ((-76.05345121816455 3.034737265232558, -76.05345121816455 3.007342056302326, -76.03975361370253 3.007342056302326, -76.03975361370253 3.034737265232558, -76.05345121816455 3.034737265232558))"
2,"POLYGON ((-76.06714882262658 3.034737265232558, -76.06714882262658 2.99364445183721, -76.03975361370253 2.99364445183721, -76.03975361370253 3.007342056302326, -76.05345121816455 3.007342056302326, -76.05345121816455 3.034737265232558, -76.06714882262658 3.034737265232558))"
8,"POLYGON ((-77.06707394835443 3.021039660767442, -77.06707394835443 2.99364445183721, -77.0533763438924 2.99364445183721, -77.0533763438924 3.007342056302326, -77.02598113496835 3.007342056302326, -77.02598113496835 3.021039660767442, -77.06707394835443 3.021039660767442))"
